Designator,Package,Quantity,Designation,Mfg. Part Num,Supplier and ref
BZ1,Buzzer_Murata_PKMCS0909E4000-R1,1,Buzzer,?SMT-0927-S-7-R?,https://www.digikey.ca/product-detail/en/pui-audio-inc/SMT-0927-S-7-R/668-1664-1-ND/9083419
C1,C_0805_2012Metric,1,47uF,,
"C12,C11,C10,C9,C8,C7,C3,C2",C_0805_2012Metric,8,10u,,
"C19,C18,C17,C16,C15",C_0805_2012Metric,5,22u,,
C23,C_0805_2012Metric,1,10uF,,
"C4,C22,C21,C20,C14,C13,C5",C_0805_2012Metric,7,100n,,
C6,C_0805_2012Metric,1,1n,,
D10,D_0805_2012Metric,1,3V3_RED,,
"D4,D3,D2,D1",LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,4,WS2813,,
D5,D_0805_2012Metric,1,RED,,
"D8,D7,D6",D_0805_2012Metric,3,LED,,
D9,D_0805_2012Metric,1,5V_RED,,
F1,Fuse_1206_3216Metric,1,Fuse,?0685P9400-01?,https://www.digikey.ca/product-detail/en/bel-fuse-inc/0685P9400-01/507-2460-1-ND/10057403
J11,PinHeader_2x03_P1.27mm_Vertical_SMD,1,SPI1,,https://www.digikey.ca/product-detail/en/sullins-connector-solutions/GRPB032VWQS-RC/S9012E-03-ND/1786412
"J5,J6,J7,J8,J12,J13,J14,J15,J16",PinHeader_1x03_P1.27mm_Vertical,9,,?M50-3530342?,https://www.digikey.ca/product-detail/en/harwin-inc/M50-3530342/952-3599-ND/7044014
"J17,J18,J19",PinHeader_1x04_P1.27mm_Vertical,3,,?M50-3530442?,https://www.digikey.ca/product-detail/en/harwin-inc/M50-3530442/952-3600-ND/7044015
J4,USB_A_Stewart_SS-52100-001_Horizontal,1,USB_A,,https://www.digikey.ca/product-detail/en/on-shore-technology-inc/USB-A1HSW6/ED2989-ND/2677750
L1,L_Abracon_ASPI-0630LR,1,3.3u 20mOhm,?ASPI-0630LR-3R3M-T15?,https://www.digikey.ca/product-detail/en/abracon-llc/ASPI-0630LR-3R3M-T15/ASPI-0630LR-3R3M-T15CT-ND/3060139
L2,L_Vishay_IHLP-2020,1,2.2u 15mOhm,?IHLP2020CZER2R2M11?,https://www.digikey.ca/product-detail/en/vishay-dale/IHLP2020CZER2R2M11/541-1236-1-ND/2025126
R1,R_0805_2012Metric,1,56.2K 1%,RMCF0805FT56K2?,https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0805FT56K2/RMCF0805FT56K2CT-ND/1942478
"R14,R13,R12,R11,R5",R_0805_2012Metric,5,0R,,
"R19,R18,R17,R16,R15,R7",R_0805_2012Metric,6,1K,,
R20,R_0805_2012Metric,1,5K1 0.1%,?RT0805BRD075K1L?,https://www.digikey.ca/product-detail/en/yageo/RT0805BRD075K1L/YAG1938CT-ND/5139386
R21,R_0805_2012Metric,1,820R 0.1%,ERA-6AEB821V?,https://www.digikey.ca/product-detail/en/panasonic-electronic-components/ERA-6YEB821V/P820ZCT-ND/250001
"R26,R25,R24,R23,R10,R9,R8,R6",R_0805_2012Metric,8,10K,,
R3,R_0805_2012Metric,1,33.2K 1%,RMCF0805FT33K2?,https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0805FT33K2/RMCF0805FT33K2CT-ND/1942465
"R4,R2",R_0805_2012Metric,2,10K 1%,?RMCF0805FT10K0?,https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0805FT10K0/RMCF0805FT10K0CT-ND/1942435
"SW1,SW2",SW_SPST_B3U-1000P,2,,,https://www.digikey.ca/product-detail/en/omron-electronics-inc-emc-div/B3U-1000P/SW1020CT-ND/1534357
U1-1,BeagleBoard_PocketBeagle_SMD Connectors,2,,,
U1-2,BeagleBoard_PocketBeagle_TH Connectors,2,,,
U10,InvenSense_QFN-24_3x3mm_P0.4mm,1,ICM-20948,ICM-20948,https://www.digikey.ca/product-detail/en/tdk-invensense/ICM-20948/1428-1123-1-ND/7062698
U11,ST_VL53L1x,1,VL53L1X,VL53L1CXV0FY/1?,https://www.digikey.ca/product-detail/en/stmicroelectronics/VL53L1CXV0FY-1/497-17764-1-ND/8276742
U12,SOIC-8_3.9x4.9mm_P1.27mm,1,ACS725xLCTR-40AB,?ACS725LLCTR-40AB-T?,https://www.digikey.ca/product-detail/en/allegro-microsystems/ACS725LLCTR-40AB-T/620-1726-1-ND/5175303
U2,VSSOP-8_2.3x2mm_P0.5mm,1,74LVC2T45DC,"74LVC2T45DC,125?",https://www.digikey.ca/product-detail/en/nexperia-usa-inc/74LVC2T45DC-125/1727-4578-1-ND/2530957
U3,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,BME280,https://www.digikey.ca/product-detail/en/bosch-sensortec/BME280/828-1063-1-ND/6136314
U4,SOT-223-3_TabPin2,1,NCP1117-5.0_SOT223,?NCP1117LPST50T3G?,https://www.digikey.ca/product-detail/en/on-semiconductor/NCP1117LPST50T3G/NCP1117LPST50T3GOSCT-ND/5801728
U5,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,NCP1117LPST33T3G?,https://www.digikey.ca/product-detail/en/on-semiconductor/NCP1117LPST33T3G/NCP1117LPST33T3GOSCT-ND/3462387
"U7,U6",SOT-23-6,2,TPS563200,?TPS563200DDCR?,https://www.digikey.ca/product-detail/en/texas-instruments/TPS563200DDCR/296-43663-1-ND/5864733
U8,ESP-12E,1,ESP-12F,,https://www.digikey.ca/product-detail/en/adafruit-industries-llc/2491/1528-1438-ND/5761206
U9,SOT50P160X60-6N,1,USBLC6-2P6,USBLC6-2P6?,https://www.digikey.ca/product-detail/en/stmicroelectronics/USBLC6-2P6/497-5026-1-ND/1007464
